title,price,price_numeric,beds,baths,area,area_sqft,price_per_sqft,property_type,featured,photo_count,description,description_length,city,listing_mode,scraped_date,url
Corner 10 Marla House For Sale In Top City 1 - Block D Islamabad,PKR 6.4 Crore,64000000,4,4,10 Marla,2250.0,28444,House,True,17,"TitaniumPKR6.4 CroreTop City 1 - Block D, Top City 14410 MarlaAdded: 1 hour ago(Updated: 1 hour ago)SMSCallEmail",112,Houses_Islamabad,for_sale,2026-07-24,https://www.zameen.com/Property/top_city_1_top_city_1_-_block_d_corner_10_marla_house_for_sale_in_top_city_1_-_block_d_islamabad-54510777-9233-1.html
Buying A Prime Location House In Top City 1 - Block D,PKR 5.95 Crore,59500000,4,4,10 Marla,2250.0,26444,House,True,27,"TitaniumPKR5.95 CroreTop City 1 - Block D, Top City 14410 MarlaAdded: 1 hour ago(Updated: 1 hour ago)SMSCallEmail",113,Houses_Islamabad,for_sale,2026-07-24,https://www.zameen.com/Property/top_city_1_top_city_1_-_block_d_buying_a_prime_location_house_in_top_city_1_-_block_d-54510776-9233-1.html
Get A 10 Marla House For sale In Top City 1 - Block A,PKR 5.5 Crore,55000000,5,5,10 Marla,2250.0,24444,House,True,17,"TitaniumPKR5.5 CroreTop City 1 - Block A, Top City 15510 MarlaAdded: 1 hour ago(Updated: 1 hour ago)SMSCallEmail",112,Houses_Islamabad,for_sale,2026-07-24,https://www.zameen.com/Property/top_city_1_top_city_1_-_block_a_get_a_10_marla_house_for_sale_in_top_city_1_-_block_a-54510821-9231-1.html
Ideally Located Prime Location House Of 10 Marla Is Available For sale In Islamabad,PKR 4.75 Crore,47500000,4,4,10 Marla,2250.0,21111,House,True,22,"TitaniumPKR4.75 CroreTop City 1 - Block D, Top City 14410 MarlaAdded: 1 hour ago(Updated: 1 hour ago)SMSCallEmail",113,Houses_Islamabad,for_sale,2026-07-24,https://www.zameen.com/Property/top_city_1_top_city_1_-_block_d_ideally_located_prime_location_house_of_10_marla_is_available_for_sale_in_islamabad-54510778-9233-1.html
House Of 10 Marla Is Available For Sale In Bahria Enclave - Sector A,PKR 5.1 Crore,51000000,5,6,10 Marla,2250.0,22666,House,True,15,"TitaniumPKR5.1 CroreBahria Enclave - Sector A, Bahria Enclave5610 MarlaAdded: 4 hours ago(Updated: 4 hours ago)SMSCall",118,Houses_Islamabad,for_sale,2026-07-24,https://www.zameen.com/Property/bahria_enclave_bahria_enclave_-_sector_a_house_of_10_marla_is_available_for_sale_in_bahria_enclave_-_sector_a-52540565-11970-1.html
New 10 Marla House In Top City !,PKR 5.5 Crore,55000000,5,6,10 Marla,2250.0,24444,House,True,20,"PKR5.5 CroreTop City 1, Islamabad5610 MarlaAdded: 1 hour agoSMSCallEmail",72,Houses_Islamabad,for_sale,2026-07-24,https://www.zameen.com/Property/islamabad_top_city_1_new_10_marla_house_in_top_city-54230743-1383-1.html
10 Marla House For Sale In Bani Gala,PKR 4.5 Crore,45000000,4,5,10 Marla,2250.0,20000,House,True,45,"PKR4.5 CroreBani Gala, Islamabad4510 MarlaAdded: 5 hours agoSMSCall",67,Houses_Islamabad,for_sale,2026-07-24,https://www.zameen.com/Property/islamabad_bani_gala_10_marla_house_for_sale_in_bani_gala-54385846-340-1.html
Beautiful 10 Marla Used House In Available For Sale,PKR 6.5 Crore,65000000,4,4,10 Marla,2250.0,28888,House,True,17,"PKR6.5 CroreDHA Defence Phase 2, DHA Defence4410 MarlaAdded: 8 hours agoSMSCall",79,Houses_Islamabad,for_sale,2026-07-24,https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_beautiful_10_marla_used_house_in_available_for_sale-54198211-339-1.html
"MODERN DESIGNER HOUSE IN MULTI GARDENS B-17, ISLAMABAD FOR SALE",PKR 6.4 Crore,64000000,6,7,10 Marla,2250.0,28444,House,True,49,"PKR6.4 CroreMPCHS - Block C, MPCHS - Multi Gardens6710 MarlaAdded: 17 hours ago(Updated: 8 hours ago)SMSCall",108,Houses_Islamabad,for_sale,2026-07-24,https://www.zameen.com/Property/mpchs_multi_gardens_mpchs_-_block_c_modern_designer_house_in_multi_gardens_b-17_islamabad_for_sale-54203759-3118-1.html
10 Marla House Available For Sale!!,PKR 4.95 Crore,49500000,5,6,10 Marla,2250.0,22000,House,True,27,"PKR4.95 CroreBahria Enclave, Bahria Town5610 MarlaAdded: 1 day ago(Updated: 21 hours ago)SMSCall",96,Houses_Islamabad,for_sale,2026-07-24,https://www.zameen.com/Property/bahria_town_bahria_enclave_10_marla_house_available_for_sale-53760256-1705-1.html
Sector C2 10 Marla Brand New House For Sale,PKR 5.25 Crore,52500000,5,6,10 Marla,2250.0,23333,House,True,34,"TitaniumPKR5.25 CroreBahria Enclave - Sector C2, Bahria Enclave5610 MarlaAdded: 24 minutes agoSMSCall",101,Houses_Islamabad,for_sale,2026-07-24,https://www.zameen.com/Property/bahria_enclave_bahria_enclave_-_sector_c2_sector_c2_10_marla_brand_new_house_for_sale-54499698-11988-1.html
Luxury 10 Marla Designer House On Main Boulevard Sector C-2 Near To Gate Bahria Enclave Islamabad,PKR 5.5 Crore,55000000,5,6,10 Marla,2250.0,24444,House,True,50,"TitaniumPKR5.5 CroreBahria Enclave - Sector C2, Bahria Enclave5610 MarlaAdded: 2 hours ago(Updated: 2 hours ago)SMSCall",119,Houses_Islamabad,for_sale,2026-07-24,https://www.zameen.com/Property/bahria_enclave_bahria_enclave_-_sector_c2_luxury_10_marla_designer_house_on_main_boulevard_sector_c-2_near_to_gate_bahria_enclave_islamabad-54414280-11988-1.html
E-11/4 10 Marla House For Sale,PKR 8.25 Crore,82500000,6,7,10 Marla,2250.0,36666,House,False,12,"PKR8.25 CroreE-11/4, E-116710 MarlaAdded: 1 hour agoSMSCall",59,Houses_Islamabad,for_sale,2026-07-24,https://www.zameen.com/Property/e_11_e-11_4_e-11_4_10_marla_house_for_sale-54468026-3241-1.html
10 Marla House Available For Sale In Dha Phase 2,PKR 6.7 Crore,67000000,5,6,10 Marla,2250.0,29777,House,False,6,"PKR6.7 CroreDHA Defence Phase 2, DHA Defence5610 MarlaAdded: 1 hour ago(Updated: 1 hour ago)SMSCall",99,Houses_Islamabad,for_sale,2026-07-24,https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_10_marla_house_available_for_sale_in_dha_phase_2-48625457-339-1.html
Brand New 10 Marla Designer House Available For Sale Sector A lop approved cda approved,PKR 5.6 Crore,56000000,5,6,10 Marla,2250.0,24888,House,False,29,"PKR5.6 CroreBahria Enclave, Bahria Town5610 MarlaAdded: 2 hours agoSMSCall",74,Houses_Islamabad,for_sale,2026-07-24,https://www.zameen.com/Property/bahria_town_bahria_enclave_brand_new_10_marla_designer_house_available_for_sale_sector_a_lop_approved_cda_approved-53895716-1705-1.html
Brand New 10 Marla Designer House Available For Sale Dead End Street Lop Approved And Cda Approved,PKR 5.4 Crore,54000000,5,6,10 Marla,2250.0,24000,House,False,25,"PKR5.4 CroreBahria Enclave - Sector C1, Bahria Enclave5610 MarlaAdded: 2 hours ago(Updated: 2 hours ago)SMSCall",111,Houses_Islamabad,for_sale,2026-07-24,https://www.zameen.com/Property/bahria_enclave_bahria_enclave_-_sector_c1_brand_new_10_marla_designer_house_available_for_sale_dead_end_street_lop_approved_and_cda_approved-54390978-11987-1.html
Brand New House in Sector C2,PKR 5.5 Crore,55000000,5,6,10 Marla,2250.0,24444,House,False,24,"PKR5.5 CroreBahria Enclave - Sector C2, Bahria Enclave5610 MarlaAdded: 4 hours agoSMSCall",89,Houses_Islamabad,for_sale,2026-07-24,https://www.zameen.com/Property/bahria_enclave_bahria_enclave_-_sector_c2_brand_new_house_in_sector_c2-54495842-11988-1.html
Stunning And Affordable House Available For Sale In Top City 1 - Block D,PKR 5.3 Crore,53000000,5,6,10 Marla,2250.0,23555,House,True,18,"TitaniumPKR5.3 CroreTop City 1 - Block D, Top City 15610 MarlaAdded: 1 minute agoSMSCallEmail",93,Houses_Islamabad,for_sale,2026-07-24,https://www.zameen.com/Property/top_city_1_top_city_1_-_block_d_stunning_and_affordable_house_available_for_sale_in_top_city_1_-_block_d-54309753-9233-1.html
10 Marla Brand New House For Sale,PKR 5.6 Crore,56000000,5,5,10 Marla,2250.0,24888,House,True,14,"TitaniumPKR5.6 CroreBahria Enclave - Sector C1, Bahria Enclave5510 MarlaAdded: 22 minutes agoSMSCall",100,Houses_Islamabad,for_sale,2026-07-24,https://www.zameen.com/Property/bahria_enclave_bahria_enclave_-_sector_c1_10_marla_brand_new_house_for_sale-54509690-11987-1.html
Sector A 10 Marla Brand New House,PKR 5.34 Crore,53400000,5,6,10 Marla,2250.0,23733,House,True,13,"TitaniumPKR5.34 CroreBahria Enclave - Sector A, Bahria Enclave5610 MarlaAdded: 24 minutes agoSMSCall",100,Houses_Islamabad,for_sale,2026-07-24,https://www.zameen.com/Property/bahria_enclave_bahria_enclave_-_sector_a_sector_a_10_marla_brand_new_house-54499861-11970-1.html
B-17 Islamabad Designer House For Sale,PKR 5.5 Crore,55000000,5,5,10 Marla,2250.0,24444,House,False,12,"PKR5.5 CroreMPCHS - Block C1, MPCHS - Multi Gardens5510 MarlaAdded: 28 minutes agoSMSCall",89,Houses_Islamabad,for_sale,2026-07-24,https://www.zameen.com/Property/mpchs_multi_gardens_mpchs_-_block_c1_b-17_islamabad_designer_house_for_sale-54496704-12607-1.html
10 Marla Brand New Designer House For Sale In Bahria Enclave Islamabad Sector C1 | 5 Bed Luxury Home | Demand 5.50 Crore,PKR 5.5 Crore,55000000,5,6,10 Marla,2250.0,24444,House,True,49,"TitaniumPKR5.5 CroreBahria Enclave - Sector C1, Bahria Enclave5610 MarlaAdded: 30 minutes agoSMSCall",100,Houses_Islamabad,for_sale,2026-07-24,https://www.zameen.com/Property/bahria_enclave_bahria_enclave_-_sector_c1_10_marla_brand_new_designer_house_for_sale_in_bahria_enclave_islamabad_sector_c1_5_bed_luxury_home_demand_5_50_crore-54265888-11987-1.html
Brand New Designer House For Sale In Sector C1 Best Location For Living 5 Bedroom With Attach Bath Near To Gate Bahria Enclave Islamabad,PKR 6 Crore,60000000,5,7,10 Marla,2250.0,26666,House,True,49,"TitaniumPKR6 CroreBahria Enclave - Sector C1, Bahria Enclave5710 MarlaAdded: 31 minutes ago(Updated: 31 minutes ago)SMSCall",123,Houses_Islamabad,for_sale,2026-07-24,https://www.zameen.com/Property/bahria_enclave_bahria_enclave_-_sector_c1_brand_new_designer_house_for_sale_in_sector_c1_best_location_for_living_5_bedroom_with_attach_bath_near_to_gate_bahria_enclave_islamabad-54252475-11987-1.html
House For sale In Top City 1,PKR 4.95 Crore,49500000,5,6,10 Marla,2250.0,22000,House,False,31,"PKR4.95 CroreTop City 1, Islamabad5610 MarlaAdded: 1 hour ago(Updated: 1 hour ago)SMSCallEmail",94,Houses_Islamabad,for_sale,2026-07-24,https://www.zameen.com/Property/islamabad_top_city_1_house_for_sale_in_top_city_1-54223522-1383-1.html
Main Double Road 10 Marla House For Sale In Faisal Town - F-18,PKR 5.25 Crore,52500000,5,5,10 Marla,2250.0,23333,House,True,27,"TitaniumPKR5.25 CroreFaisal Town - F-18, Islamabad5510 MarlaAdded: 1 hour agoSMSCall",84,Houses_Islamabad,for_sale,2026-07-24,https://www.zameen.com/Property/islamabad_faisal_town_-_f-18_main_double_road_10_marla_house_for_sale_in_faisal_town_-_f-18-54502618-8260-1.html
A Palatial Residence For Corner sale In Top City 1 - Block C Islamabad,PKR 8 Crore,80000000,6,6,1 Kanal,4500.0,17777,House,True,23,super hot231VerifiedShare on FacebookShare on TwitterShare on WhatsAppSend via GMailSend via E-Mail,99,Houses_Islamabad,for_sale,2026-07-24,https://www.zameen.com/Property/top_city_1_top_city_1_-_block_c_a_palatial_residence_for_corner_sale_in_top_city_1_-_block_c_islamabad-54510779-9232-1.html
Modern Design Brand New House Available For Sale In I-10/2 (6 Marla),PKR 6.1 Crore,61000000,5,5,6 Marla,1350.0,45185,House,True,30,super hot301VerifiedShare on FacebookShare on TwitterShare on WhatsAppSend via GMailSend via E-Mail,99,Houses_Islamabad,for_sale,2026-07-24,https://www.zameen.com/Property/islamabad_i-10_modern_design_brand_new_house_available_for_sale_in_i-10_2_6_marla-54357732-173-1.html
House Is Available For sale In MPCHS - Block F,PKR 3.8 Crore,38000000,5,5,8 Marla,1800.0,21111,House,True,17,super hot17VerifiedShare on FacebookShare on TwitterShare on WhatsAppSend via GMailSend via E-Mail,98,Houses_Islamabad,for_sale,2026-07-24,https://www.zameen.com/Property/mpchs_multi_gardens_mpchs_-_block_f_house_is_available_for_sale_in_mpchs_-_block_f-54485738-8527-1.html
Main Double Road Double Unit House @2.65 Cr - F block sector B17 Islamabad,PKR 2.65 Crore,26500000,,6,5 Marla,1125.0,23555,House,True,18,super hot18Share on FacebookShare on TwitterShare on WhatsAppSend via GMailSend via E-Mail,90,Houses_Islamabad,for_sale,2026-07-24,https://www.zameen.com/Property/islamabad_b-17_main_double_road_double_unit_house_2_65_cr_-_f_block_sector_b17_islamabad-54515747-616-1.html
Luxury Living Redefined: 14 Marla Designer Villa For Sale In Bahria Golf City,PKR 9.8 Crore,98000000,3,4,14 Marla,3150.0,31111,House,True,18,super hot181Share on FacebookShare on TwitterShare on WhatsAppSend via GMailSend via E-Mail,91,Houses_Islamabad,for_sale,2026-07-24,https://www.zameen.com/Property/bahria_town_bahria_golf_city_luxury_living_redefined_14_marla_designer_villa_for_sale_in_bahria_golf_city-54516033-8233-1.html
Highly-Desirable 5 Marla House Available In Lilly Sector - DHA Homes,PKR 95 Lakh,9500000,2,2,5 Marla,1125.0,8444,House,True,21,super hot21Share on FacebookShare on TwitterShare on WhatsAppSend via GMailSend via E-Mail,90,Houses_Islamabad,for_sale,2026-07-24,https://www.zameen.com/Property/dha_valley_lilly_sector_lilly_sector_-_dha_homes_highly-desirable_5_marla_house_available_in_lilly_sector_-_dha_homes-54362199-16826-1.html
Almost Brand New House For sale In i-8/2 Islamabad,PKR 14.25 Crore,142500000,9,6,12.4 Marla,2790.0,51075,House,True,23,super hot231VerifiedShare on FacebookShare on TwitterShare on WhatsAppSend via GMailSend via E-Mail,99,Houses_Islamabad,for_sale,2026-07-24,https://www.zameen.com/Property/i_8_i-8_2_almost_brand_new_house_for_sale_in_i-8_2_islamabad-54509065-3442-1.html
"One Kanal Double Unit 7 bedrooms House for Sale | DHA Phase 2, Islamabad",PKR 12.9 Crore,129000000,12,6,1 Kanal,4500.0,28666,House,True,19,super hot191Share on FacebookShare on TwitterShare on WhatsAppSend via GMailSend via E-Mail,91,Houses_Islamabad,for_sale,2026-07-24,https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_one_kanal_double_unit_7_bedrooms_house_for_sale_dha_phase_2_islamabad-54463294-339-1.html
Brand New Park-Facing Designer House for Sale | 8.5 Marla | Sector N | Bahria Enclave Islamabad,PKR 4.25 Crore,42500000,,,8 Marla,1800.0,23611,House,True,49,hot49Share on FacebookShare on TwitterShare on WhatsAppSend via GMailSend via E-Mail,84,Houses_Islamabad,for_sale,2026-07-24,https://www.zameen.com/Property/bahria_enclave_bahria_enclave_-_sector_n_brand_new_park-facing_designer_house_for_sale_8_5_marla_sector_n_bahria_enclave_islamabad-54511472-11975-1.html
F 7/2 Old House Size 60*100 666 Square Yards.,PKR 29 Crore,290000000,6,6,1.3 Kanal,5850.0,49572,House,False,49,hot49Share on FacebookShare on TwitterShare on WhatsAppSend via GMailSend via E-Mail,84,Houses_Islamabad,for_sale,2026-07-24,https://www.zameen.com/Property/islamabad_f-7_f_7_2_old_house_size_60_100_666_square_yards-53178506-165-1.html
F 10 House Available 5 Bed With Bath Close And Street.,PKR 20.25 Crore,202500000,20,20,1.1 Kanal,4950.0,40909,House,False,43,hot43Share on FacebookShare on TwitterShare on WhatsAppSend via GMailSend via E-Mail,84,Houses_Islamabad,for_sale,2026-07-24,https://www.zameen.com/Property/islamabad_f-10_f_10_house_available_5_bed_with_bath_close_and_street-53765708-162-1.html
E 7 House Available 1000 Square Yards  Margla Facing.,PKR 55 Crore,550000000,7,6,2 Kanal,9000.0,61111,House,False,49,hot49Share on FacebookShare on TwitterShare on WhatsAppSend via GMailSend via E-Mail,84,Houses_Islamabad,for_sale,2026-07-24,https://www.zameen.com/Property/islamabad_e-7_e_7_house_available_1000_square_yards_margla_facing-54022961-343-1.html
"F 8/3 Brand New Designer House Available And Corner, With Swimming Pool And Lift.",PKR 43.9 Crore,439000000,5,6,17.8 Marla,4005.0,109612,House,False,39,hot39Share on FacebookShare on TwitterShare on WhatsAppSend via GMailSend via E-Mail,84,Houses_Islamabad,for_sale,2026-07-24,https://www.zameen.com/Property/f_8_f-8_3_f_8_3_brand_new_designer_house_available_and_corner_with_swimming_pool_and_lift-54295695-3316-1.html
F 7 House Available 80*120 On Beautiful Location Near Green Belt.,PKR 45 Crore,450000000,6,6,2.1 Kanal,9450.0,47619,House,False,49,hot49Share on FacebookShare on TwitterShare on WhatsAppSend via GMailSend via E-Mail,84,Houses_Islamabad,for_sale,2026-07-24,https://www.zameen.com/Property/islamabad_f-7_f_7_house_available_80_120_on_beautiful_location_near_green_belt-54441641-165-1.html
10 Marla Luxury Designer Villa for Sale A Perfect Blend of Elegance & Comfort,PKR 6.25 Crore,62500000,4,5,10 Marla,2250.0,27777,House,True,34,34Share on FacebookShare on TwitterShare on WhatsAppSend via GMailSend via E-Mail,81,Houses_Islamabad,for_sale,2026-07-24,https://www.zameen.com/Property/top_city_1_top_city_1_-_block_a_10_marla_luxury_designer_villa_for_sale_a_perfect_blend_of_elegance_comfort-54516348-9231-1.html
Triple Storey 1 Kanal 7 Bed House For Sale,PKR 17 Crore,170000000,17,7,1 Kanal,4500.0,37777,House,True,18,18Share on FacebookShare on TwitterShare on WhatsAppSend via GMailSend via E-Mail,81,Houses_Islamabad,for_sale,2026-07-24,https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_triple_storey_1_kanal_7_bed_house_for_sale-54516344-339-1.html
