title,price,price_numeric,beds,baths,area,area_sqft,price_per_sqft,property_type,featured,photo_count,description,description_length,city,scraped_date,url
1 Kanal Brand New Designer House For Sale In DHA Phase 2,PKR 14.5 Crore,145000000,5,5,1 Kanal,4500.0,32222,House,True,45,"TitaniumPKR14.5 CroreDHA Defence Phase 2, DHA Defence551 KanalAdded: 15 hours ago(Updated: 15 hours ago)SMSCall",111,Houses_Islamabad,2026-07-24,https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_1_kanal_brand_new_designer_house_for_sale_in_dha_phase_2-54371197-339-1.html
Brand New Single Story CDA Approved in F17 T&T 30*60 House for sale,PKR 2.1 Crore,21000000,2,3,8 Marla,1800.0,11666,House,True,22,"TitaniumPKR2.1 CroreF-17, Islamabad238 MarlaAdded: 17 hours ago(Updated: 17 hours ago)SMSCall",93,Houses_Islamabad,2026-07-24,https://www.zameen.com/Property/islamabad_f-17_brand_new_single_story_cda_approved_in_f17_t_t_30_60_house_for_sale-54105091-335-1.html
"Beautiful House For Sale In F-7/1, Islamabad - Prime Location.",PKR 27 Crore,270000000,4,4,1.1 Kanal,4950.0,54545,House,True,9,"TitaniumPKR27 CroreF-7/1, F-7441.1 KanalAdded: 19 hours ago(Updated: 17 hours ago)SMSCallEmail",94,Houses_Islamabad,2026-07-24,https://www.zameen.com/Property/f_7_f-7_1_beautiful_house_for_sale_in_f-7_1_islamabad_-_prime_location-54430414-3307-1.html
"Beautiful Furnished House three side corner available for Sale in F-7, Islamabad",PKR 42 Crore,420000000,8,7,1.3 Kanal,5850.0,71794,House,True,7,"TitaniumPKR42 CroreF-7/1, F-7871.3 KanalAdded: 19 hours ago(Updated: 17 hours ago)SMSCallEmail",94,Houses_Islamabad,2026-07-24,https://www.zameen.com/Property/f_7_f-7_1_beautiful_furnished_house_three_side_corner_available_for_sale_in_f-7_islamabad-54417333-3307-1.html
10 Marla Barnd New Designer House Available For Sale,PKR 6.75 Crore,67500000,6,6,10 Marla,2250.0,30000,House,True,30,"TitaniumPKR6.75 CroreBahria Enclave - Sector C1, Bahria Enclave6610 MarlaAdded: 19 hours agoSMSCall",99,Houses_Islamabad,2026-07-24,https://www.zameen.com/Property/bahria_enclave_bahria_enclave_-_sector_c1_10_marla_barnd_new_designer_house_available_for_sale-54485644-11987-1.html
G 13 HOUSE 14 Marla 40x80 VERY IDEAL LOCATION ON 50 FEET ROAD PINDI FACE NEAR PARK AND BASIC AMUNITIES,PKR 10.95 Crore,109500000,7,6,14 Marla,3150.0,34761,House,True,48,"PKR10.95 CroreG-13, Islamabad7614 MarlaAdded: 4 hours agoSMSCall",64,Houses_Islamabad,2026-07-24,https://www.zameen.com/Property/islamabad_g-13_g_13_house_14_marla_40x80_very_ideal_location_on_50_feet_road_pindi_face_near_park_and_basic_amunities-54378827-330-1.html
south face brand new house,PKR 8.75 Crore,87500000,6,6,1 Kanal,4500.0,19444,House,True,14,"PKR8.75 CroreNaval Anchorage, Islamabad661 KanalAdded: 5 hours agoSMSCall",73,Houses_Islamabad,2026-07-24,https://www.zameen.com/Property/islamabad_naval_anchorage_south_face_brand_new_house-54513040-375-1.html
Luxury 6 Marla Brand New House For Sale In Soan Garden Islamabad,PKR 3.2 Crore,32000000,4,6,6 Marla,1350.0,23703,House,True,20,"PKR3.2 CroreSoan Garden - Block H, Soan Garden466 MarlaAdded: 5 hours agoSMSCall",80,Houses_Islamabad,2026-07-24,https://www.zameen.com/Property/soan_garden_soan_garden_-_block_h_luxury_6_marla_brand_new_house_for_sale_in_soan_garden_islamabad-52200224-3498-1.html
5 MARLA HOUSE FOR SALE IN ISLAMABAD,PKR 2.6 Crore,26000000,4,5,5 Marla,1125.0,23111,House,True,41,"PKR2.6 CrorePark View City - Overseas Block, Park View City455 MarlaAdded: 9 hours ago(Updated: 8 minutes ago)SMSCall",117,Houses_Islamabad,2026-07-24,https://www.zameen.com/Property/park_view_city_park_view_city_-_overseas_block_5_marla_house_for_sale_in_islamabad-54187013-19666-1.html
"MODERN DESIGNER HOUSE IN MULTI GARDENS B-17, ISLAMABAD FOR SALE",PKR 6.4 Crore,64000000,6,7,10 Marla,2250.0,28444,House,True,49,"PKR6.4 CroreMPCHS - Block C, MPCHS - Multi Gardens6710 MarlaAdded: 9 hours ago(Updated: 9 minutes ago)SMSCall",109,Houses_Islamabad,2026-07-24,https://www.zameen.com/Property/mpchs_multi_gardens_mpchs_-_block_c_modern_designer_house_in_multi_gardens_b-17_islamabad_for_sale-54203759-3118-1.html
7 Marla (30x60) Double Unit Brand New House For Sale G-15/1 Islamabad,PKR 3.45 Crore,34500000,6,6,7 Marla,1575.0,21904,House,True,29,"TitaniumPKR3.45 CroreG-15, Islamabad667 MarlaAdded: 3 hours agoSMSCall",70,Houses_Islamabad,2026-07-24,https://www.zameen.com/Property/islamabad_g-15_7_marla_30x60_double_unit_brand_new_house_for_sale_g-15_1_islamabad-54297783-764-1.html
1 Kanal Luxury House In F-7 Islamabad,PKR 35 Crore,350000000,5,7,1 Kanal,4500.0,77777,House,True,13,"TitaniumPKR35 CroreF-7, Islamabad571 KanalAdded: 3 hours agoSMSCall",67,Houses_Islamabad,2026-07-24,https://www.zameen.com/Property/islamabad_f-7_1_kanal_luxury_house_in_f-7_islamabad-54294494-165-1.html
14 Marla House Naval Anchorage for sale in islamabad,PKR 4.95 Crore,49500000,5,5,14 Marla,3150.0,15714,House,False,15,"PKR4.95 CroreNaval Anchorage - Block F, Naval Anchorage5514 MarlaAdded: 1 hour ago(Updated: 27 minutes ago)SMSCall",114,Houses_Islamabad,2026-07-24,https://www.zameen.com/Property/naval_anchorage_naval_anchorage_-_block_f_14_marla_house_naval_anchorage_for_sale_in_islamabad-54512951-3472-1.html
4 Marla House For Sale,PKR 3.65 Crore,36500000,4,4,4 Marla,900.0,40555,House,False,5,"PKR3.65 CroreG-13, Islamabad444 MarlaAdded: 2 hours ago(Updated: 2 hours ago)SMSCall",84,Houses_Islamabad,2026-07-24,https://www.zameen.com/Property/islamabad_g-13_4_marla_house_for_sale-54389154-330-1.html
20 MARLA BEAUTIFULL BRAND NEW HOUSE AVAILBLE FOR SALE,PKR 10.5 Crore,105000000,6,7,1 Kanal,4500.0,23333,House,False,12,"PKR10.5 CroreDHA Phase 4 - Sector B, DHA Defence Phase 4671 KanalAdded: 4 hours agoSMSCall",90,Houses_Islamabad,2026-07-24,https://www.zameen.com/Property/dha_defence_phase_4_dha_phase_4_-_sector_b_20_marla_beautifull_brand_new_house_availble_for_sale-54456278-13957-1.html
