title,price,price_numeric,beds,baths,area,area_sqft,price_per_sqft,property_type,featured,photo_count,description,description_length,city,listing_mode,scraped_date,url
fully furnished 14 beds 15 washrooms House For Rent,PKR 18 Lakh,1800000,10,6,2 Kanal,9000.0,200,House,True,8,"TitaniumPKR18 LakhF-7, Islamabad1062 KanalAdded: 3 hours ago(Updated: 3 hours ago)SMSCall",89,Houses_Rent_Islamabad,for_rent,2026-07-24,https://www.zameen.com/Property/islamabad_f-7_fully_furnished_14_beds_15_washrooms_house_for_rent-54368529-165-4.html
"10 Marla Luxury Double Unit House For Rent CDA Sector D-12/1, Islamabad",PKR 3.15 Lakh,315000,5,6,10 Marla,2250.0,140,House,True,12,"TitaniumPKR3.15 LakhD-12/1, D-125610 MarlaAdded: 6 hours ago(Updated: 6 hours ago)SMSCall",89,Houses_Rent_Islamabad,for_rent,2026-07-24,https://www.zameen.com/Property/d_12_d-12_1_10_marla_luxury_double_unit_house_for_rent_cda_sector_d-12_1_islamabad-54462721-3154-4.html
Beautiful House For Rent In F-6 Main Margalla Road Islamabad - Prime Location. Fantastic View Of Margalla Hills,PKR 9.8 Lakh,980000,4,5,1.6 Kanal,7200.0,136,House,True,6,"TitaniumPKR9.8 LakhF-7, Islamabad451.6 KanalAdded: 1 day ago(Updated: 1 day ago)SMSCallEmail",92,Houses_Rent_Islamabad,for_rent,2026-07-24,https://www.zameen.com/Property/islamabad_f-7_beautiful_house_for_rent_in_f-6_main_margalla_road_islamabad_-_prime_location_fantastic_view_of_margalla_hills-54496323-165-4.html
"Well Maintained Beautiful Corner House F-6 , Islamabad",PKR 7 Lakh,700000,3,3,1 Kanal,4500.0,155,House,True,14,"TitaniumPKR7 LakhF-6, Islamabad331 KanalAdded: 1 day ago(Updated: 1 day ago)SMSCallEmail",88,Houses_Rent_Islamabad,for_rent,2026-07-24,https://www.zameen.com/Property/islamabad_f-6_well_maintained_beautiful_corner_house_f-6_islamabad-54482716-164-4.html
Big Lawn House For Rent,PKR 45 Lakh,4500000,10,6,4 Kanal,18000.0,250,House,True,27,"TitaniumPKR45 LakhF-7, Islamabad1064 KanalAdded: 1 day agoSMSCall",65,Houses_Rent_Islamabad,for_rent,2026-07-24,https://www.zameen.com/Property/islamabad_f-7_big_lawn_house_for_rent-54439252-165-4.html
On Excellent Location 3200 Square Feet House In Central D-12/3 For Rent,PKR 6 Lakh,600000,5,6,14.2 Marla,3195.0,187,House,True,33,"PKR6 LakhD-12/3, D-125614.2 MarlaAdded: 2 hours ago(Updated: 2 hours ago)SMSCall",80,Houses_Rent_Islamabad,for_rent,2026-07-24,https://www.zameen.com/Property/d_12_d-12_3_on_excellent_location_3200_square_feet_house_in_central_d-12_3_for_rent-54513633-3156-4.html
A Beautiful House For Rent Ideal Location All Tile Flooring Front Beautiful Lawn,PKR 6.5 Lakh,650000,6,6,2 Kanal,9000.0,72,House,True,27,"PKR6.5 LakhF-10, Islamabad662 KanalAdded: 3 hours agoSMSCall",60,Houses_Rent_Islamabad,for_rent,2026-07-24,https://www.zameen.com/Property/islamabad_f-10_a_beautiful_house_for_rent_ideal_location_all_tile_flooring_front_beautiful_lawn-54412315-162-4.html
2 Kanal Brand New House For Rent In F-6 On Prime Location,PKR 25 Lakh,2500000,7,,2 Kanal,9000.0,277,House,True,29,"PKR25 LakhF-6, Islamabad72 KanalAdded: 18 hours agoSMSCall",58,Houses_Rent_Islamabad,for_rent,2026-07-24,https://www.zameen.com/Property/islamabad_f-6_2_kanal_brand_new_house_for_rent_in_f-6_on_prime_location-54304864-164-4.html
Brand New House For Rent In F-8 On Prime Location,PKR 25 Lakh,2500000,7,,2 Kanal,9000.0,277,House,True,39,"PKR25 LakhF-8, Islamabad72 KanalAdded: 18 hours agoSMSCall",58,Houses_Rent_Islamabad,for_rent,2026-07-24,https://www.zameen.com/Property/islamabad_f-8_brand_new_house_for_rent_in_f-8_on_prime_location-54365661-166-4.html
5 Bedrooms & 5 Bathrooms Full House Available For Rent,PKR 3.7 Lakh,370000,5,5,1.2 Kanal,5400.0,68,House,True,13,"PKR3.7 LakhG-10, Islamabad551.2 KanalAdded: 19 hours ago(Updated: 19 hours ago)SMSCall",86,Houses_Rent_Islamabad,for_rent,2026-07-24,https://www.zameen.com/Property/islamabad_g-10_5_bedrooms_5_bathrooms_full_house_available_for_rent-54511605-167-4.html
Beautiful House For Rent,PKR 7 Lakh,700000,4,4,1 Kanal,4500.0,155,House,True,11,"TitaniumPKR7 LakhF-8, Islamabad441 KanalAdded: 6 minutes agoSMSCall",67,Houses_Rent_Islamabad,for_rent,2026-07-24,https://www.zameen.com/Property/islamabad_f-8_beautiful_house_for_rent-54515198-166-4.html
1 Kanal Beautiful House Available For Rent,PKR 5.25 Lakh,525000,5,4,1 Kanal,4500.0,116,House,True,22,"TitaniumPKR5.25 LakhF-10/4, F-10541 KanalAdded: 2 hours ago(Updated: 2 hours ago)SMSCallEmail",93,Houses_Rent_Islamabad,for_rent,2026-07-24,https://www.zameen.com/Property/f_10_f-10_4_1_kanal_beautiful_house_available_for_rent-54370403-3279-4.html
Fully Furnished House For Rent In Bahria Enclave Islamabad,PKR 2.95 Lakh,295000,5,5,8 Marla,1800.0,163,House,False,20,"PKR2.95 LakhBahria Enclave, Bahria Town558 MarlaAdded: 3 minutes agoSMSCall",75,Houses_Rent_Islamabad,for_rent,2026-07-24,https://www.zameen.com/Property/bahria_town_bahria_enclave_fully_furnished_house_for_rent_in_bahria_enclave_islamabad-54326625-1705-4.html
25*40 Double story House available for rent in G13,PKR 1.3 Lakh,130000,4,5,4 Marla,900.0,144,House,False,9,"PKR1.3 LakhG-13, Islamabad454 MarlaAdded: 26 minutes agoSMSCall",63,Houses_Rent_Islamabad,for_rent,2026-07-24,https://www.zameen.com/Property/islamabad_g-13_25_40_double_story_house_available_for_rent_in_g13-54494981-330-4.html
